[2025-03-11 12:04:15] INFO - Log file initialized at: raw_data\USA\07008\search_of_housekeeping\recurring\scrape_recurring.log
[2025-03-11 12:04:15] INFO - Starting scraping for USA/07008, care_type='housekeeping', sub_type='recurring', pay range [0, 100].
[2025-03-11 12:04:15] INFO - Run ID: 444b02d2-8404-40c1-b71c-3ed4657e9b63
[2025-03-11 12:04:15] INFO - Checking pay range [0, 100]...
[2025-03-11 12:04:17] INFO -   => totalHits = 454
[2025-03-11 12:04:52] INFO -   - Page 15 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_15.json
[2025-03-11 12:04:52] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE1MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:04:54] INFO -   - Page 16 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_16.json
[2025-03-11 12:04:54] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE2MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:04:56] INFO -   - Page 17 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_17.json
[2025-03-11 12:04:56] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE3MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:04:59] INFO -   - Page 18 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_18.json
[2025-03-11 12:04:59] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE4MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:01] INFO -   - Page 19 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_19.json
[2025-03-11 12:05:01] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE5MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:03] INFO -   - Page 20 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_20.json
[2025-03-11 12:05:03] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTIwMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:05] INFO -   - Page 21 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_21.json
[2025-03-11 12:05:05] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTIxMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:07] INFO -   - Page 22 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_22.json
[2025-03-11 12:05:07] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTIyMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:10] INFO -   - Page 23 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_23.json
[2025-03-11 12:05:10] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTIzMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:12] INFO -   - Page 24 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_24.json
[2025-03-11 12:05:12] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI0MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:14] INFO -   - Page 25 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_25.json
[2025-03-11 12:05:14] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI1MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:16] INFO -   - Page 26 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_26.json
[2025-03-11 12:05:16] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI2MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:18] INFO -   - Page 27 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_27.json
[2025-03-11 12:05:18] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI3MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:21] INFO -   - Page 28 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_28.json
[2025-03-11 12:05:21] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI4MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:23] INFO -   - Page 29 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_29.json
[2025-03-11 12:05:23] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTI5MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:25] INFO -   - Page 30 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_30.json
[2025-03-11 12:05:25] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTMwMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:28] INFO -   - Page 31 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_31.json
[2025-03-11 12:05:28] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTMxMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:30] INFO -   - Page 32 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_32.json
[2025-03-11 12:05:30] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTMyMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:32] INFO -   - Page 33 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_33.json
[2025-03-11 12:05:32] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTMzMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:34] INFO -   - Page 34 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_34.json
[2025-03-11 12:05:34] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTM0MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:37] INFO -   - Page 35 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_35.json
[2025-03-11 12:05:37] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTM1MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:39] INFO -   - Page 36 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_36.json
[2025-03-11 12:05:39] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTM2MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:41] INFO -   - Page 37 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_37.json
[2025-03-11 12:05:41] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTM3MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:43] INFO -   - Page 38 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_38.json
[2025-03-11 12:05:43] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTM4MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:45] INFO -   - Page 39 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_39.json
[2025-03-11 12:05:45] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTM5MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:47] INFO -   - Page 40 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_40.json
[2025-03-11 12:05:47] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTQwMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:50] INFO -   - Page 41 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_41.json
[2025-03-11 12:05:50] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTQxMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:52] INFO -   - Page 42 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_42.json
[2025-03-11 12:05:52] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTQyMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:54] INFO -   - Page 43 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_43.json
[2025-03-11 12:05:54] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTQzMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:56] INFO -   - Page 44 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_44.json
[2025-03-11 12:05:56] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTQ0MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:05:58] INFO -   - Page 45 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_45.json
[2025-03-11 12:05:58] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTQ1MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:06:00] INFO -   - Page 46 => 4 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_46.json
[2025-03-11 12:06:00] INFO - Finished range [0, 100] with status='success'. Total pages: 46, total caregivers: 454.
[2025-03-11 12:06:00] INFO - All pay range segments processed. Scraping complete!
