job_evaluation_criterion_pk,solicitation_id,criterion_name,criterion_stars
39,64b9b22b61df19a6e9ca5dbf,Pontualidade,5.0
40,64b9b22b61df19a6e9ca5dbf,Disciplina e educação,5.0
41,6484968b9d382b001b05f747,Qualidade da limpeza,5.0
42,6484968b9d382b001b05f747,Conduta Ética,5.0
43,6484968b9d382b001b05f747,Organização,5.0
44,6484968b9d382b001b05f747,Pontualidade,5.0
45,6484968b9d382b001b05f747,Disciplina e educação,5.0
46,6426b545ce30d3001b453858,Qualidade da limpeza,5.0
47,6426b545ce30d3001b453858,Conduta Ética,5.0
48,6426b545ce30d3001b453858,Organização,5.0
49,6426b545ce30d3001b453858,Pontualidade,5.0
50,6426b545ce30d3001b453858,Disciplina e educação,5.0
51,641b6f5cb2c1236d8b1f6fe8,Qualidade da limpeza,5.0
52,641b6f5cb2c1236d8b1f6fe8,Conduta Ética,5.0
53,641b6f5cb2c1236d8b1f6fe8,Organização,5.0
54,641b6f5cb2c1236d8b1f6fe8,Pontualidade,5.0
55,641b6f5cb2c1236d8b1f6fe8,Disciplina e educação,5.0
56,636bcdeb90c0fe001df178a5,Qualidade da limpeza,5.0
57,636bcdeb90c0fe001df178a5,Conduta Ética,5.0
58,636bcdeb90c0fe001df178a5,Organização,5.0
59,636bcdeb90c0fe001df178a5,Pontualidade,5.0
60,636bcdeb90c0fe001df178a5,Disciplina e educação,5.0
61,6331cb0c43a72317097b95fd,Qualidade da limpeza,5.0
62,6331cb0c43a72317097b95fd,Conduta Ética,5.0
63,6331cb0c43a72317097b95fd,Organização,5.0
64,6331cb0c43a72317097b95fd,Pontualidade,5.0
65,6331cb0c43a72317097b95fd,Disciplina e educação,5.0
66,62e6dafd483851705622c407,Qualidade da limpeza,5.0
67,62e6dafd483851705622c407,Conduta Ética,5.0
68,62e6dafd483851705622c407,Organização,5.0
69,62e6dafd483851705622c407,Pontualidade,5.0
70,62e6dafd483851705622c407,Disciplina e educação,5.0
71,60fc7edfa627b7001ce071ae,Qualidade da limpeza,5.0
72,60fc7edfa627b7001ce071ae,Conduta Ética,5.0
73,60fc7edfa627b7001ce071ae,Organização,5.0
74,60fc7edfa627b7001ce071ae,Pontualidade,5.0
75,60fc7edfa627b7001ce071ae,Disciplina e educação,5.0
76,637d6f39d55f6e001dbd7cd9,Respeito e educação,5.0
77,637d6f39d55f6e001dbd7cd9,Valorização,5.0
78,637d6f39d55f6e001dbd7cd9,Não atrapalhou no serviço,5.0
79,637d6f39d55f6e001dbd7cd9,Na casa tinha produtos,5.0
80,637d6f39d55f6e001dbd7cd9,Conduta ética,5.0
81,6144fb27d64cd5001d1d5957,Qualidade da limpeza,5.0
82,6144fb27d64cd5001d1d5957,Conduta Ética,5.0
83,6144fb27d64cd5001d1d5957,Organização,5.0
84,6144fb27d64cd5001d1d5957,Pontualidade,5.0
85,6144fb27d64cd5001d1d5957,Disciplina e educação,5.0
86,5f7caef0bf798b001e21360d,Qualidade da limpeza,5.0
87,5f7caef0bf798b001e21360d,Conduta Ética,5.0
88,5f7caef0bf798b001e21360d,Organização,5.0
89,5f7caef0bf798b001e21360d,Pontualidade,5.0
90,5f7caef0bf798b001e21360d,Disciplina e educação,5.0
91,66f5558e0b8b2f001c9cfdda,Respeito e educação,5.0
92,66f5558e0b8b2f001c9cfdda,Valorização,5.0
93,66f5558e0b8b2f001c9cfdda,Não atrapalhou no serviço,5.0
94,66f5558e0b8b2f001c9cfdda,Na casa tinha produtos,5.0
95,66f5558e0b8b2f001c9cfdda,Conduta ética,5.0
96,6082a5c736b672001c8f4bef,Qualidade da limpeza,5.0
97,6082a5c736b672001c8f4bef,Conduta Ética,5.0
98,6082a5c736b672001c8f4bef,Organização,5.0
99,6082a5c736b672001c8f4bef,Pontualidade,5.0
100,6082a5c736b672001c8f4bef,Disciplina e educação,4.0
101,6498b93dc5dc0a001b378476,Qualidade da limpeza,5.0
102,6498b93dc5dc0a001b378476,Conduta Ética,5.0
103,6498b93dc5dc0a001b378476,Organização,4.0
104,6498b93dc5dc0a001b378476,Pontualidade,5.0
105,6498b93dc5dc0a001b378476,Disciplina e educação,4.0
106,6399e724a325c7001d377476,Qualidade da limpeza,5.0
107,6399e724a325c7001d377476,Conduta Ética,5.0
108,6399e724a325c7001d377476,Organização,5.0
109,6399e724a325c7001d377476,Pontualidade,5.0
110,6399e724a325c7001d377476,Disciplina e educação,5.0
111,63fd6ea2a50a8d001b7be646,Qualidade da limpeza,1.0
112,63fd6ea2a50a8d001b7be646,Conduta Ética,1.0
113,63fd6ea2a50a8d001b7be646,Organização,1.0
114,63fd6ea2a50a8d001b7be646,Pontualidade,1.0
115,63fd6ea2a50a8d001b7be646,Disciplina e educação,1.0
116,625417c801dcd3001d234c56,Qualidade da limpeza,5.0
117,625417c801dcd3001d234c56,Conduta Ética,5.0
118,625417c801dcd3001d234c56,Organização,5.0
119,625417c801dcd3001d234c56,Pontualidade,5.0
120,625417c801dcd3001d234c56,Disciplina e educação,5.0
121,61d73b2e0315cc001dc1981a,Qualidade da limpeza,5.0
122,61d73b2e0315cc001dc1981a,Conduta Ética,5.0
123,61d73b2e0315cc001dc1981a,Organização,5.0
124,61d73b2e0315cc001dc1981a,Pontualidade,5.0
125,61d73b2e0315cc001dc1981a,Disciplina e educação,5.0
126,6244c7bae6f43b07c1344d4c,Qualidade da limpeza,5.0
127,6244c7bae6f43b07c1344d4c,Conduta Ética,5.0
128,6244c7bae6f43b07c1344d4c,Organização,5.0
129,6244c7bae6f43b07c1344d4c,Pontualidade,5.0
130,6244c7bae6f43b07c1344d4c,Disciplina e educação,5.0
131,66e461fd033e69001c371735,Qualidade da limpeza,5.0
132,66e461fd033e69001c371735,Conduta Ética,5.0
133,66e461fd033e69001c371735,Organização,5.0
134,66e461fd033e69001c371735,Pontualidade,5.0
135,66e461fd033e69001c371735,Disciplina e educação,5.0
136,66d79e5cd2f0d1001cbe9a0b,Qualidade da limpeza,5.0
137,66d79e5cd2f0d1001cbe9a0b,Conduta Ética,5.0
138,66d79e5cd2f0d1001cbe9a0b,Organização,5.0
139,66d79e5cd2f0d1001cbe9a0b,Pontualidade,5.0
140,66d79e5cd2f0d1001cbe9a0b,Disciplina e educação,5.0
141,612578bbf63f1f001d8efee4,Qualidade da limpeza,5.0
142,612578bbf63f1f001d8efee4,Conduta Ética,5.0
143,612578bbf63f1f001d8efee4,Organização,5.0
144,612578bbf63f1f001d8efee4,Pontualidade,5.0
145,612578bbf63f1f001d8efee4,Disciplina e educação,5.0
146,61646358db390b001de58390,Qualidade da limpeza,5.0
147,61646358db390b001de58390,Conduta Ética,5.0
148,61646358db390b001de58390,Organização,5.0
149,61646358db390b001de58390,Pontualidade,5.0
150,61646358db390b001de58390,Disciplina e educação,5.0
151,6255ec3b1c8257001d6938ba,Qualidade da limpeza,5.0
152,6255ec3b1c8257001d6938ba,Conduta Ética,5.0
153,6255ec3b1c8257001d6938ba,Organização,5.0
154,6255ec3b1c8257001d6938ba,Pontualidade,5.0
155,6255ec3b1c8257001d6938ba,Disciplina e educação,5.0
156,66883db4dd1ea9001c596399,Qualidade da limpeza,5.0
157,66883db4dd1ea9001c596399,Conduta Ética,5.0
158,66883db4dd1ea9001c596399,Organização,5.0
159,66883db4dd1ea9001c596399,Pontualidade,5.0
160,66883db4dd1ea9001c596399,Disciplina e educação,5.0
161,65de0af32fdf1500231c71cc,Qualidade da limpeza,5.0
162,65de0af32fdf1500231c71cc,Conduta Ética,5.0
163,65de0af32fdf1500231c71cc,Organização,5.0
164,65de0af32fdf1500231c71cc,Pontualidade,5.0
165,65de0af32fdf1500231c71cc,Disciplina e educação,5.0
166,634dd5b7af05f0001dfe696c,Qualidade da limpeza,5.0
167,634dd5b7af05f0001dfe696c,Conduta Ética,5.0
168,634dd5b7af05f0001dfe696c,Organização,5.0
169,634dd5b7af05f0001dfe696c,Pontualidade,5.0
170,634dd5b7af05f0001dfe696c,Disciplina e educação,5.0
171,632fb508b7bc16001d483c68,Qualidade da limpeza,5.0
172,632fb508b7bc16001d483c68,Conduta Ética,5.0
173,632fb508b7bc16001d483c68,Organização,5.0
174,632fb508b7bc16001d483c68,Pontualidade,5.0
175,632fb508b7bc16001d483c68,Disciplina e educação,5.0
176,632776751bb05c001d712973,Qualidade da limpeza,5.0
177,632776751bb05c001d712973,Conduta Ética,5.0
178,632776751bb05c001d712973,Organização,5.0
179,632776751bb05c001d712973,Pontualidade,5.0
180,632776751bb05c001d712973,Disciplina e educação,5.0
181,629919f4582e7c001dbfac3d,Qualidade da limpeza,5.0
182,629919f4582e7c001dbfac3d,Conduta Ética,5.0
183,629919f4582e7c001dbfac3d,Organização,5.0
184,629919f4582e7c001dbfac3d,Pontualidade,5.0
185,629919f4582e7c001dbfac3d,Disciplina e educação,5.0
186,6256cb311c8257001d693b97,Qualidade da limpeza,5.0
187,6256cb311c8257001d693b97,Conduta Ética,5.0
188,6256cb311c8257001d693b97,Organização,5.0
189,6256cb311c8257001d693b97,Pontualidade,5.0
190,6256cb311c8257001d693b97,Disciplina e educação,5.0
191,624b1f0d27391e001d09edc0,Qualidade da limpeza,5.0
192,624b1f0d27391e001d09edc0,Conduta Ética,5.0
193,624b1f0d27391e001d09edc0,Organização,5.0
194,624b1f0d27391e001d09edc0,Pontualidade,5.0
195,624b1f0d27391e001d09edc0,Disciplina e educação,5.0
196,61c9a87d565c6f001d247ccf,Qualidade da limpeza,5.0
197,61c9a87d565c6f001d247ccf,Conduta Ética,5.0
198,61c9a87d565c6f001d247ccf,Organização,5.0
199,61c9a87d565c6f001d247ccf,Pontualidade,5.0
200,61c9a87d565c6f001d247ccf,Disciplina e educação,5.0
201,61c46ffcc605dd001d20c1c1,Qualidade da limpeza,5.0
202,61c46ffcc605dd001d20c1c1,Conduta Ética,5.0
203,61c46ffcc605dd001d20c1c1,Organização,5.0
204,61c46ffcc605dd001d20c1c1,Pontualidade,5.0
205,61c46ffcc605dd001d20c1c1,Disciplina e educação,5.0
206,61c23374f0b225001d3dcb4e,Qualidade da limpeza,5.0
207,61c23374f0b225001d3dcb4e,Conduta Ética,5.0
208,61c23374f0b225001d3dcb4e,Organização,5.0
209,61c23374f0b225001d3dcb4e,Pontualidade,5.0
210,61c23374f0b225001d3dcb4e,Disciplina e educação,5.0
211,6182d05d4cbe77001de1c5bf,Qualidade da limpeza,5.0
212,6182d05d4cbe77001de1c5bf,Conduta Ética,5.0
213,6182d05d4cbe77001de1c5bf,Organização,5.0
214,6182d05d4cbe77001de1c5bf,Pontualidade,5.0
215,6182d05d4cbe77001de1c5bf,Disciplina e educação,5.0
216,617e9566f6f2e10750937ee6,Qualidade da limpeza,5.0
217,617e9566f6f2e10750937ee6,Conduta Ética,5.0
218,617e9566f6f2e10750937ee6,Organização,5.0
219,617e9566f6f2e10750937ee6,Pontualidade,5.0
220,617e9566f6f2e10750937ee6,Disciplina e educação,5.0
221,614a1200b6ec34001d37f8f9,Qualidade da limpeza,5.0
222,614a1200b6ec34001d37f8f9,Conduta Ética,5.0
223,614a1200b6ec34001d37f8f9,Organização,5.0
224,614a1200b6ec34001d37f8f9,Pontualidade,5.0
225,614a1200b6ec34001d37f8f9,Disciplina e educação,5.0
226,61223b50fd1cc6001d459d93,Qualidade da limpeza,5.0
227,61223b50fd1cc6001d459d93,Organização,5.0
228,61223b50fd1cc6001d459d93,Pontualidade,5.0
229,61223b50fd1cc6001d459d93,Disciplina e educação,5.0
230,60f84669d31e10001c36189d,Qualidade da limpeza,5.0
231,60f84669d31e10001c36189d,Conduta Ética,5.0
232,60f84669d31e10001c36189d,Organização,5.0
233,60f84669d31e10001c36189d,Pontualidade,5.0
234,60f84669d31e10001c36189d,Disciplina e educação,5.0
235,6561db21450403b928a13a10,Qualidade da limpeza,5.0
236,6561db21450403b928a13a10,Conduta Ética,5.0
237,6561db21450403b928a13a10,Organização,5.0
238,6561db21450403b928a13a10,Pontualidade,5.0
239,6561db21450403b928a13a10,Disciplina e educação,5.0
240,6531a2d7915264a1a8e6ff2f,Qualidade da limpeza,5.0
241,6531a2d7915264a1a8e6ff2f,Conduta Ética,5.0
242,6531a2d7915264a1a8e6ff2f,Organização,5.0
243,6531a2d7915264a1a8e6ff2f,Pontualidade,5.0
244,6531a2d7915264a1a8e6ff2f,Disciplina e educação,5.0
245,652b02e71ae8fe2fb832fa8d,Qualidade da limpeza,5.0
246,652b02e71ae8fe2fb832fa8d,Conduta Ética,5.0
247,652b02e71ae8fe2fb832fa8d,Organização,5.0
248,652b02e71ae8fe2fb832fa8d,Pontualidade,5.0
249,652b02e71ae8fe2fb832fa8d,Disciplina e educação,5.0
250,6521cd151ae8fe2fb8a0e6b5,Qualidade da limpeza,5.0
251,6521cd151ae8fe2fb8a0e6b5,Conduta Ética,5.0
252,6521cd151ae8fe2fb8a0e6b5,Organização,5.0
253,6521cd151ae8fe2fb8a0e6b5,Pontualidade,5.0
254,6521cd151ae8fe2fb8a0e6b5,Disciplina e educação,5.0
255,651ae7eb27e2a675fa290daa,Qualidade da limpeza,5.0
256,651ae7eb27e2a675fa290daa,Conduta Ética,5.0
257,651ae7eb27e2a675fa290daa,Organização,5.0
258,651ae7eb27e2a675fa290daa,Pontualidade,5.0
259,651ae7eb27e2a675fa290daa,Disciplina e educação,5.0
260,64cc56a86fc914cf293caee3,Qualidade da limpeza,5.0
261,64cc56a86fc914cf293caee3,Conduta Ética,5.0
262,64cc56a86fc914cf293caee3,Organização,5.0
263,64cc56a86fc914cf293caee3,Pontualidade,5.0
264,64cc56a86fc914cf293caee3,Disciplina e educação,5.0
265,64cab61ada427cea2be397c9,Qualidade da limpeza,5.0
266,64cab61ada427cea2be397c9,Conduta Ética,5.0
267,64cab61ada427cea2be397c9,Organização,5.0
268,64cab61ada427cea2be397c9,Pontualidade,5.0
269,64cab61ada427cea2be397c9,Disciplina e educação,5.0
270,64ca4a4fda427cea2bdca442,Qualidade da limpeza,5.0
271,64ca4a4fda427cea2bdca442,Conduta Ética,5.0
272,64ca4a4fda427cea2bdca442,Organização,5.0
273,64ca4a4fda427cea2bdca442,Pontualidade,5.0
274,64ca4a4fda427cea2bdca442,Disciplina e educação,5.0
275,64c93a33da427cea2bcb68bd,Qualidade da limpeza,5.0
276,64c93a33da427cea2bcb68bd,Conduta Ética,5.0
277,64c93a33da427cea2bcb68bd,Organização,5.0
278,64c93a33da427cea2bcb68bd,Pontualidade,5.0
279,64c93a33da427cea2bcb68bd,Disciplina e educação,5.0
280,64623448c3de6d79e1fd86cf,Qualidade da limpeza,5.0
281,64623448c3de6d79e1fd86cf,Conduta Ética,5.0
282,64623448c3de6d79e1fd86cf,Organização,5.0
283,64623448c3de6d79e1fd86cf,Pontualidade,5.0
284,64623448c3de6d79e1fd86cf,Disciplina e educação,5.0
285,6451d448c00b906c6c7647ea,Qualidade da limpeza,5.0
286,6451d448c00b906c6c7647ea,Conduta Ética,5.0
287,6451d448c00b906c6c7647ea,Organização,5.0
288,6451d448c00b906c6c7647ea,Pontualidade,5.0
289,6451d448c00b906c6c7647ea,Disciplina e educação,5.0
290,6411dc05b2c1236d8b887f2a,Qualidade da limpeza,5.0
291,6411dc05b2c1236d8b887f2a,Conduta Ética,5.0
292,6411dc05b2c1236d8b887f2a,Organização,5.0
293,6411dc05b2c1236d8b887f2a,Pontualidade,5.0
294,6411dc05b2c1236d8b887f2a,Disciplina e educação,5.0
295,640dc8d7823561001bab408d,Qualidade da limpeza,2.0
296,640dc8d7823561001bab408d,Conduta Ética,5.0
297,640dc8d7823561001bab408d,Organização,1.0
298,640dc8d7823561001bab408d,Pontualidade,5.0
299,640dc8d7823561001bab408d,Disciplina e educação,3.0
300,63d19b32711f3b2dd6a944d0,Qualidade da limpeza,5.0
301,63d19b32711f3b2dd6a944d0,Conduta Ética,5.0
302,63d19b32711f3b2dd6a944d0,Organização,5.0
303,63d19b32711f3b2dd6a944d0,Pontualidade,5.0
304,63d19b32711f3b2dd6a944d0,Disciplina e educação,5.0
305,63d073cc711f3b2dd6974313,Qualidade da limpeza,5.0
306,63d073cc711f3b2dd6974313,Conduta Ética,5.0
307,63d073cc711f3b2dd6974313,Organização,5.0
308,63d073cc711f3b2dd6974313,Pontualidade,5.0
309,63d073cc711f3b2dd6974313,Disciplina e educação,5.0
310,63a364006e33da001d07d8b0,Qualidade da limpeza,5.0
311,63a364006e33da001d07d8b0,Conduta Ética,5.0
312,63a364006e33da001d07d8b0,Organização,5.0
313,63a364006e33da001d07d8b0,Pontualidade,5.0
314,63a364006e33da001d07d8b0,Disciplina e educação,5.0
315,639e3fca948f42001d87ed4b,Qualidade da limpeza,5.0
316,639e3fca948f42001d87ed4b,Conduta Ética,5.0
317,639e3fca948f42001d87ed4b,Organização,5.0
318,639e3fca948f42001d87ed4b,Pontualidade,5.0
319,639e3fca948f42001d87ed4b,Disciplina e educação,4.0
320,638bccd1fa54e47d2cc4aaf4,Qualidade da limpeza,5.0
321,638bccd1fa54e47d2cc4aaf4,Conduta Ética,5.0
322,638bccd1fa54e47d2cc4aaf4,Organização,5.0
323,638bccd1fa54e47d2cc4aaf4,Pontualidade,5.0
324,638bccd1fa54e47d2cc4aaf4,Disciplina e educação,5.0
325,637bf9c289693c35d7063b9b,Qualidade da limpeza,5.0
326,637bf9c289693c35d7063b9b,Conduta Ética,5.0
327,637bf9c289693c35d7063b9b,Organização,5.0
328,637bf9c289693c35d7063b9b,Pontualidade,5.0
329,637bf9c289693c35d7063b9b,Disciplina e educação,5.0
330,636b7ceb90c0fe001df15ab0,Qualidade da limpeza,5.0
331,636b7ceb90c0fe001df15ab0,Conduta Ética,5.0
332,636b7ceb90c0fe001df15ab0,Organização,5.0
333,636b7ceb90c0fe001df15ab0,Pontualidade,5.0
334,636b7ceb90c0fe001df15ab0,Disciplina e educação,5.0
335,6366c64284321e001d7477a8,Qualidade da limpeza,5.0
336,6366c64284321e001d7477a8,Conduta Ética,5.0
337,6366c64284321e001d7477a8,Organização,5.0
338,6366c64284321e001d7477a8,Pontualidade,5.0
339,6366c64284321e001d7477a8,Disciplina e educação,5.0
340,6361a2c49b4e82001d3730da,Qualidade da limpeza,5.0
341,6361a2c49b4e82001d3730da,Conduta Ética,5.0
342,6361a2c49b4e82001d3730da,Organização,5.0
343,6361a2c49b4e82001d3730da,Pontualidade,5.0
344,6361a2c49b4e82001d3730da,Disciplina e educação,5.0
345,635b02a61a6113e661463a0f,Qualidade da limpeza,5.0
346,635b02a61a6113e661463a0f,Conduta Ética,5.0
347,635b02a61a6113e661463a0f,Organização,5.0
348,635b02a61a6113e661463a0f,Pontualidade,5.0
349,635b02a61a6113e661463a0f,Disciplina e educação,5.0
350,63506122bd9df8001d8f325a,Qualidade da limpeza,5.0
351,63506122bd9df8001d8f325a,Conduta Ética,5.0
352,63506122bd9df8001d8f325a,Organização,5.0
353,63506122bd9df8001d8f325a,Pontualidade,5.0
354,63506122bd9df8001d8f325a,Disciplina e educação,5.0
355,634de722e9ee32001d1b7c6d,Qualidade da limpeza,5.0
356,634de722e9ee32001d1b7c6d,Conduta Ética,5.0
357,634de722e9ee32001d1b7c6d,Organização,5.0
358,634de722e9ee32001d1b7c6d,Pontualidade,5.0
359,634de722e9ee32001d1b7c6d,Disciplina e educação,5.0
360,63334669012789001dcae864,Qualidade da limpeza,5.0
361,63334669012789001dcae864,Conduta Ética,5.0
362,63334669012789001dcae864,Organização,5.0
363,63334669012789001dcae864,Pontualidade,5.0
364,63334669012789001dcae864,Disciplina e educação,5.0
365,62dff29bf067bf001d4e581f,Qualidade da limpeza,5.0
366,62dff29bf067bf001d4e581f,Conduta Ética,5.0
367,62dff29bf067bf001d4e581f,Organização,5.0
368,62dff29bf067bf001d4e581f,Pontualidade,5.0
369,62dff29bf067bf001d4e581f,Disciplina e educação,5.0
370,625643301c8257001d693a8e,Qualidade da limpeza,5.0
371,625643301c8257001d693a8e,Conduta Ética,5.0
372,625643301c8257001d693a8e,Organização,5.0
373,625643301c8257001d693a8e,Pontualidade,5.0
374,625643301c8257001d693a8e,Disciplina e educação,5.0
375,622823e1146143001d9d7e70,Qualidade da limpeza,5.0
376,622823e1146143001d9d7e70,Conduta Ética,5.0
377,622823e1146143001d9d7e70,Organização,5.0
378,622823e1146143001d9d7e70,Pontualidade,5.0
379,622823e1146143001d9d7e70,Disciplina e educação,5.0
380,6116ed3cd83cf8001d3b53cc,Qualidade da limpeza,5.0
381,6116ed3cd83cf8001d3b53cc,Conduta Ética,5.0
382,6116ed3cd83cf8001d3b53cc,Organização,5.0
383,6116ed3cd83cf8001d3b53cc,Pontualidade,5.0
384,6116ed3cd83cf8001d3b53cc,Disciplina e educação,5.0
385,60b2bf3d96da70001c84104f,Conduta Ética,5.0
386,60b2bf3d96da70001c84104f,Pontualidade,5.0
387,60b2bf3d96da70001c84104f,Disciplina e educação,5.0
388,5f4d6e960e3199001e09221b,Qualidade da limpeza,5.0
389,5f4d6e960e3199001e09221b,Conduta Ética,5.0
390,5f4d6e960e3199001e09221b,Organização,5.0
391,5f4d6e960e3199001e09221b,Pontualidade,5.0
392,5f4d6e960e3199001e09221b,Disciplina e educação,5.0
393,5f4531e488f97b001ea9839c,Qualidade da limpeza,5.0
394,5f4531e488f97b001ea9839c,Conduta Ética,5.0
395,5f4531e488f97b001ea9839c,Organização,5.0
396,5f4531e488f97b001ea9839c,Pontualidade,5.0
397,5f4531e488f97b001ea9839c,Disciplina e educação,5.0
398,66c33f896dff84001c3d3923,Qualidade da limpeza,5.0
399,66c33f896dff84001c3d3923,Conduta Ética,5.0
400,66c33f896dff84001c3d3923,Organização,5.0
401,66c33f896dff84001c3d3923,Pontualidade,5.0
402,66c33f896dff84001c3d3923,Disciplina e educação,5.0
403,61ed3c8a0e8341001decc3d4,Qualidade da limpeza,5.0
404,61ed3c8a0e8341001decc3d4,Conduta Ética,5.0
405,61ed3c8a0e8341001decc3d4,Organização,5.0
406,61ed3c8a0e8341001decc3d4,Pontualidade,5.0
407,61ed3c8a0e8341001decc3d4,Disciplina e educação,5.0
408,652b3fd8624f21001b24bc40,Qualidade da limpeza,5.0
409,652b3fd8624f21001b24bc40,Conduta Ética,5.0
410,652b3fd8624f21001b24bc40,Organização,5.0
411,652b3fd8624f21001b24bc40,Pontualidade,5.0
412,652b3fd8624f21001b24bc40,Disciplina e educação,5.0
413,6172f518d8114d001d348b77,Qualidade da limpeza,5.0
414,6172f518d8114d001d348b77,Conduta Ética,5.0
415,6172f518d8114d001d348b77,Organização,5.0
416,6172f518d8114d001d348b77,Pontualidade,5.0
417,6172f518d8114d001d348b77,Disciplina e educação,5.0
418,61eff8b43ad54b001d8c2654,Qualidade da limpeza,5.0
419,61eff8b43ad54b001d8c2654,Conduta Ética,5.0
420,61eff8b43ad54b001d8c2654,Organização,5.0
421,61eff8b43ad54b001d8c2654,Pontualidade,5.0
422,61eff8b43ad54b001d8c2654,Disciplina e educação,5.0
423,65535f5ab995b5001b2f5d7d,Qualidade da limpeza,5.0
424,65535f5ab995b5001b2f5d7d,Conduta Ética,5.0
425,65535f5ab995b5001b2f5d7d,Organização,5.0
426,65535f5ab995b5001b2f5d7d,Pontualidade,5.0
427,65535f5ab995b5001b2f5d7d,Disciplina e educação,5.0
428,60c1ef4d4506d4001c5b44e2,Qualidade da limpeza,5.0
429,60c1ef4d4506d4001c5b44e2,Conduta Ética,5.0
430,60c1ef4d4506d4001c5b44e2,Organização,5.0
431,60c1ef4d4506d4001c5b44e2,Pontualidade,5.0
432,60c1ef4d4506d4001c5b44e2,Disciplina e educação,5.0
433,66ccd8b03a9ead001c64eeac,Qualidade da limpeza,1.0
434,66ccd8b03a9ead001c64eeac,Conduta Ética,1.0
435,66ccd8b03a9ead001c64eeac,Organização,1.0
436,66ccd8b03a9ead001c64eeac,Pontualidade,1.0
437,66ccd8b03a9ead001c64eeac,Disciplina e educação,1.0
438,6615651a995c4f001c76d975,Qualidade da limpeza,3.0
439,6615651a995c4f001c76d975,Conduta Ética,3.0
440,6615651a995c4f001c76d975,Organização,2.0
441,6615651a995c4f001c76d975,Pontualidade,4.0
442,6615651a995c4f001c76d975,Disciplina e educação,3.0
443,64c5725861df19a6e9850bac,Qualidade da limpeza,5.0
444,64c5725861df19a6e9850bac,Conduta Ética,5.0
445,64c5725861df19a6e9850bac,Organização,5.0
446,64c5725861df19a6e9850bac,Pontualidade,5.0
447,64c5725861df19a6e9850bac,Disciplina e educação,5.0
448,64c4f71f61df19a6e97d59e9,Qualidade da limpeza,5.0
449,64c4f71f61df19a6e97d59e9,Conduta Ética,5.0
450,64c4f71f61df19a6e97d59e9,Organização,5.0
451,64c4f71f61df19a6e97d59e9,Pontualidade,5.0
452,64c4f71f61df19a6e97d59e9,Disciplina e educação,5.0
453,647deca23a72a6bc7456909f,Qualidade da limpeza,5.0
454,647deca23a72a6bc7456909f,Conduta Ética,5.0
455,647deca23a72a6bc7456909f,Organização,5.0
456,647deca23a72a6bc7456909f,Pontualidade,5.0
457,647deca23a72a6bc7456909f,Disciplina e educação,5.0
458,64769840bdf98f001bcad2d0,Qualidade da limpeza,5.0
459,64769840bdf98f001bcad2d0,Conduta Ética,5.0
460,64769840bdf98f001bcad2d0,Organização,5.0
461,64769840bdf98f001bcad2d0,Pontualidade,5.0
462,64769840bdf98f001bcad2d0,Disciplina e educação,5.0
463,646bf6c6436c64001ba48bbd,Qualidade da limpeza,5.0
464,646bf6c6436c64001ba48bbd,Conduta Ética,5.0
